#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2022-10-20 19:46:28 EDT      (sdww02)
#
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Further Descriptions of the parameter_cd column can be found at:
# https://waterdata.usgs.gov/nwis/pmcodes
# Further Descriptions of codes in the result_cd column can be found at:
# https://waterdata.usgs.gov/nwis/help?codes_help#surface_water
#
# This information includes the following fields:
#
#  agency_cd    Agency Code
#  station_nm   Station Name
#  site_no      USGS station number
#  ts_id        TimeSeries ID
#  parameter_cd Parameter Code
#  result_dt    Date that the result was taken
#  result_tz_cd Time datum
#  result_va    Current value
#  result_cd    Code to show data quality
#  result_md    Date the result was modified in the NWIS database
#
agency_cd	site_no	station_nm	ts_id	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
5s	15s	50s	10n	5s	12d	6s	12s	2s	12d
USGS	02228500	NORTH PRONG ST. MARYS RIVER AT MONIAC, GA	301133	63160	2022-10-20 18:45:00	EDT	93.72		2022-10-20 18:49:04
USGS	02231000	ST. MARYS RIVER NEAR MACCLENNY, FL	302321	63160	2022-10-20 18:45:00	EDT	42.46		2022-10-20 18:55:53
USGS	02231342	FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL	301135	63160	2022-10-20 18:45:00	EDT	34.47		2022-10-20 18:55:53
USGS	02231396	BLUE CYPRESS CREEK NEAR FELLSMERE, FL	301136	63160	2022-10-20 18:45:00	EDT	25.64		2022-10-20 18:55:53
USGS	02231600	JANE GREEN CREEK NEAR DEER PARK, FL	301138	63160	2022-10-20 18:45:00	EDT	23.56		2022-10-20 18:53:56
USGS	02232000	ST. JOHNS RIVER NEAR MELBOURNE, FL	302323	63160	2022-10-20 19:30:00	EDT	16.34		2022-10-20 19:43:54
USGS	02232200	WOLF CREEK NEAR DEER PARK, FL	302325	63160	2022-10-20 18:45:00	EDT	21.92		2022-10-20 18:53:56
USGS	02232400	ST. JOHNS RIVER NEAR COCOA, FL	302326	63160	2022-10-20 19:15:00	EDT	14.76		2022-10-20 19:29:03
USGS	02232415	TAYLOR CREEK NEAR COCOA, FL	302327	63160	2022-10-20 19:15:00	EDT	15.47		2022-10-20 19:18:14
USGS	02232500	ST. JOHNS RIVER NEAR CHRISTMAS, FL	302328	63160	2022-10-20 19:30:00	EDT	10.82		2022-10-20 19:44:53
USGS	02233484	ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL	302329	63160	2022-10-20 19:30:00	EDT	16.47		2022-10-20 19:38:15
